threshold,cloningTime,versionedTime,persistentTime,coloredTime
34.328959999999995,172,173,163,67
34.658950000000004,172,173,163,67
34.98894,172,173,163,67
35.31893,172,173,163,67
35.64892,172,173,163,68
35.97891,172,173,163,68
36.3089,172,173,163,68
36.638889999999996,172,173,163,68
36.968880000000006,172,173,163,68
37.29887,172,173,163,68
37.628859999999996,172,173,163,68
37.95885,172,173,163,69
38.28884,172,173,163,69
38.61883,172,173,163,69
38.94882,172,173,163,69
39.27880999999999,172,173,163,69
39.6088,172,173,163,69
39.93879,172,173,163,69
40.26878,172,173,163,69
40.59877,172,173,163,69
40.92876,172,173,163,69
41.25875,172,173,163,70
41.588739999999994,172,173,163,70
41.918730000000004,172,173,163,70
42.24872,172,173,163,70
42.578709999999994,172,173,163,70
42.9087,172,173,163,70
43.23869,172,173,163,70
43.56868,172,173,163,70
43.898669999999996,172,173,163,70
44.228660000000005,172,173,163,70
44.55865,172,173,163,70
44.888639999999995,172,173,163,70
45.218630000000005,172,173,164,70
45.54862,172,173,164,70
45.87861,172,173,164,70
46.2086,172,173,164,70
46.53859,172,173,164,70
46.86858,172,173,164,70
47.19857,172,173,164,70
47.52856,172,173,164,70
47.85855,172,173,164,70
48.188539999999996,172,173,164,70
48.51853,172,173,164,70
48.84852,172,173,164,70
49.17851,172,173,164,70
49.5085,172,173,164,70
49.83848999999999,172,174,164,70
50.16848,172,174,164,70
50.49847,172,174,164,70
50.82846,172,174,164,70
51.15845,172,174,164,70
51.48844,172,174,164,70
51.81843,172,174,164,70
52.148419999999994,172,174,164,70
52.478410000000004,172,174,164,70
52.8084,172,174,164,70
53.138389999999994,172,174,164,70
53.46838,172,174,164,70
53.79837,172,174,164,70
54.12836,172,175,164,70
54.458349999999996,172,175,164,70
54.788340000000005,172,175,164,70
55.11833,172,175,164,70
55.448319999999995,172,175,164,70
55.778310000000005,172,175,164,70
56.1083,172,175,164,70
56.43829,172,175,164,70
56.76828,172,175,164,70
57.09827,172,175,164,70
57.42826,172,175,164,70
57.75825,172,175,164,70
58.088240000000006,172,175,164,70
58.41823,172,175,164,70
58.748219999999996,172,175,164,70
59.07821,172,175,164,70
59.4082,172,175,164,70
59.73819,172,175,164,70
60.06818,172,175,164,70
60.39816999999999,172,175,164,70
60.72816,172,175,164,70
61.05815,172,175,164,70
61.38814,172,175,164,70
61.71813,172,175,164,70
62.04812,172,175,164,70
62.37811,172,175,164,70
62.708099999999995,172,175,164,70
63.038090000000004,172,175,164,70
63.36808,172,175,164,70
63.698069999999994,172,175,164,70
64.02806000000001,172,175,164,70
64.35805,172,175,164,70
64.68804,172,175,164,70
65.01803000000001,172,175,164,70
65.34802,172,175,164,70
65.67801,172,175,164,70
66.00800000000001,172,175,164,70
66.33799,172,175,164,70
66.66798,172,175,164,70
66.99797000000001,172,175,164,70
67.32796,172,175,164,70
67.65795,172,175,164,70
67.98794000000001,172,175,164,70
68.31793000000002,172,175,164,70
68.64792,172,175,164,70
68.97791000000001,172,175,164,70
69.30790000000002,172,175,164,70
69.63789,172,175,164,70
