benchmark,cloning_code,cloning_secs,cloning_kb,cloning_branches,versioned_code,versioned_secs,versioned_kb,versioned_branches,persistent_code,persistent_secs,persistent_kb,persistent_branches,colored_code,colored_secs,colored_kb,colored_branches
benchmarks/isaplanner_goal86.smt2.th,134,37.98,26022877.5,0.0,124,298.16,4866748.0,0.0,134,87.77,2602565.0,0.0,124,298.92,797836.0,0.0
benchmarks/isaplanner_goal87.smt2.th,124,296.22,19710716.0,0.0,124,297.65,5786456.0,0.0,134,17.68,334531.05,0.0,101,1.77,100493.24,0.0
benchmarks/isaplanner_goal9.smt2.th,0,0.07,7834.68,21.0,0,0.07,5755.6,21.0,0,0.1,8048.68,21.0,101,2.01,6425.61,0.0
benchmarks/leon_amortize-queue-goal1.smt2.th,124,297.67,1068884.0,0.0,124,298.46,498208.0,0.0,134,205.16,515154.0,0.0,101,2.26,7381.29,0.0
benchmarks/leon_amortize-queue-goal10.smt2.th,134,146.94,29187012.0,0.0,134,104.85,28207558.66,0.0,134,189.94,2981748.0,0.0,124,295.08,10318888.0,0.0
benchmarks/leon_amortize-queue-goal11.smt2.th,134,73.84,21303353.0,0.0,134,81.62,26146159.0,0.0,134,29.74,816482.0,0.0,124,295.97,8010548.0,0.0
benchmarks/leon_amortize-queue-goal12.smt2.th,134,75.56,21848678.0,0.0,134,78.47,25208642.0,0.0,134,31.5,827129.6,0.0,124,295.92,7810180.0,0.0
benchmarks/leon_amortize-queue-goal13.smt2.th,134,188.29,27037868.0,0.0,134,233.24,28498360.0,0.0,124,291.19,13791732.0,0.0,124,296.86,5780332.0,0.0
benchmarks/leon_amortize-queue-goal14.smt2.th,134,195.0,26853446.0,0.0,134,237.74,28501412.0,0.0,124,291.34,13915012.0,0.0,124,296.91,5716864.0,0.0
benchmarks/leon_amortize-queue-goal15.smt2.th,134,211.58,32060926.0,0.0,134,225.25,29477134.0,0.0,124,291.79,13626852.0,0.0,124,296.68,6086876.0,0.0
benchmarks/leon_amortize-queue-goal2.smt2.th,134,95.97,22388479.0,0.0,134,63.9,26385560.8,0.0,134,11.35,288999.07,0.0,124,299.72,78388.0,0.0
benchmarks/leon_amortize-queue-goal3.smt2.th,124,297.55,7853804.0,0.0,124,295.0,19327832.0,0.0,134,62.34,833678.4,0.0,124,299.62,207568.0,0.0
benchmarks/leon_amortize-queue-goal4.smt2.th,124,297.71,11235876.0,0.0,124,297.75,14338484.0,0.0,134,43.07,803273.14,0.0,124,299.66,272640.0,0.0
benchmarks/leon_amortize-queue-goal5.smt2.th,134,251.67,20454422.0,0.0,124,298.33,6660968.0,0.0,134,53.57,981276.0,0.0,124,299.75,279628.0,0.0
benchmarks/leon_amortize-queue-goal6.smt2.th,124,294.13,13677304.0,0.0,124,296.06,12158780.0,0.0,124,291.3,18269304.0,0.0,124,297.86,4897204.0,0.0
benchmarks/leon_amortize-queue-goal7.smt2.th,124,294.24,13643600.0,0.0,124,296.29,12207600.0,0.0,124,290.88,18355156.0,0.0,124,297.41,5564732.0,0.0
benchmarks/leon_amortize-queue-goal8.smt2.th,124,294.07,13715100.0,0.0,124,296.13,12209328.0,0.0,124,290.56,18312260.0,0.0,124,297.38,5471624.0,0.0
benchmarks/leon_amortize-queue-goal9.smt2.th,134,158.66,27845818.0,0.0,134,110.39,27654265.33,0.0,134,216.28,8565068.0,0.0,124,297.8,4633660.0,0.0
benchmarks/leon_bsearch-tree-goal1.smt2.th,124,295.46,12522928.0,0.0,124,297.85,7568388.0,0.0,134,4.87,251136.0,0.0,101,14.49,22007.23,0.0
benchmarks/leon_bsearch-tree-goal10.smt2.th,124,296.43,10807592.0,0.0,124,298.02,7610444.0,0.0,134,4.95,251724.27,0.0,101,40.13,112635.0,0.0
benchmarks/leon_bsearch-tree-goal11.smt2.th,124,294.22,15031808.0,0.0,124,298.89,3041732.0,0.0,134,4.94,251665.83,0.0,101,42.72,118670.28,0.0
benchmarks/leon_bsearch-tree-goal12.smt2.th,124,294.65,14489376.0,0.0,124,298.99,3041932.0,0.0,134,4.94,251665.35,0.0,101,43.06,118720.0,0.0
benchmarks/leon_bsearch-tree-goal13.smt2.th,124,294.91,13918120.0,0.0,124,299.0,3043048.0,0.0,134,5.0,251657.31,0.0,101,43.19,118645.71,0.0
benchmarks/leon_bsearch-tree-goal14.smt2.th,124,295.09,13609076.0,0.0,124,298.91,3039492.0,0.0,134,4.98,251726.48,0.0,101,135.57,850061.33,0.0
benchmarks/leon_bsearch-tree-goal15.smt2.th,124,294.63,14113892.0,0.0,124,299.02,3038888.0,0.0,134,4.97,251650.23,0.0,101,136.04,852658.66,0.0
benchmarks/leon_bsearch-tree-goal16.smt2.th,124,296.39,9398196.0,0.0,124,297.96,7011652.0,0.0,134,4.97,251742.71,0.0,101,143.18,855874.66,0.0
benchmarks/leon_bsearch-tree-goal17.smt2.th,124,294.85,13757360.0,0.0,124,298.0,6814428.0,0.0,134,4.98,251872.55,0.0,124,299.47,238492.0,0.0
benchmarks/leon_bsearch-tree-goal18.smt2.th,124,296.49,11788812.0,0.0,124,298.66,4874416.0,0.0,134,5.0,251808.0,0.0,124,299.6,237024.0,0.0
benchmarks/leon_bsearch-tree-goal2.smt2.th,124,295.56,12519072.0,0.0,124,297.66,7571368.0,0.0,134,4.89,251220.94,0.0,101,14.56,22024.19,0.0
benchmarks/leon_bsearch-tree-goal3.smt2.th,124,293.97,15361588.0,0.0,124,297.63,8163188.0,0.0,134,4.91,251160.33,0.0,101,15.27,21984.0,0.0
benchmarks/leon_bsearch-tree-goal4.smt2.th,124,295.28,12603292.0,0.0,124,297.89,7575460.0,0.0,134,4.92,251302.23,0.0,101,45.23,113973.14,0.0
benchmarks/leon_bsearch-tree-goal5.smt2.th,124,293.98,14844032.0,0.0,124,298.85,3041164.0,0.0,134,4.92,251344.94,0.0,101,45.36,114232.57,0.0
benchmarks/leon_bsearch-tree-goal6.smt2.th,124,294.01,14450564.0,0.0,124,298.89,3037264.0,0.0,134,4.95,251492.94,0.0,101,45.41,114753.71,0.0
benchmarks/leon_bsearch-tree-goal7.smt2.th,124,294.12,15005704.0,0.0,124,299.09,3041904.0,0.0,134,4.94,251520.4,0.0,101,45.61,113629.71,0.0
benchmarks/leon_bsearch-tree-goal8.smt2.th,124,296.34,10901136.0,0.0,124,298.94,3037912.0,0.0,134,4.95,251781.96,0.0,101,41.11,113108.5,0.0
benchmarks/leon_bsearch-tree-goal9.smt2.th,124,296.44,10763184.0,0.0,124,297.83,7601008.0,0.0,134,4.96,251642.64,0.0,101,41.17,112931.5,0.0
benchmarks/leon_heap-goal1.smt2.th,124,298.71,1035560.0,0.0,124,299.37,460884.0,0.0,124,299.07,714660.0,0.0,101,1.57,18211.5,0.0
benchmarks/leon_heap-goal10.smt2.th,124,298.87,1165464.0,0.0,124,299.27,455300.0,0.0,134,156.32,506258.0,0.0,101,1.65,17823.81,0.0
benchmarks/leon_heap-goal11.smt2.th,124,298.8,1222244.0,0.0,124,299.26,449920.0,0.0,124,298.83,723672.0,0.0,101,1.65,18031.61,0.0
benchmarks/leon_heap-goal12.smt2.th,124,298.84,1243628.0,0.0,124,299.27,462372.0,0.0,124,297.37,998944.0,0.0,101,1.66,17790.94,0.0
benchmarks/leon_heap-goal13.smt2.th,124,298.68,1083028.0,0.0,124,299.3,458276.0,0.0,124,297.76,542272.0,0.0,101,1.61,18594.96,0.0
benchmarks/leon_heap-goal2.smt2.th,124,298.64,1211720.0,0.0,124,299.19,455212.0,0.0,134,291.77,577696.0,0.0,101,1.58,18332.63,0.0
benchmarks/leon_heap-goal3.smt2.th,124,298.87,1072512.0,0.0,124,299.2,458464.0,0.0,124,297.33,606872.0,0.0,101,1.63,17498.52,0.0
benchmarks/leon_heap-goal4.smt2.th,124,298.81,1087116.0,0.0,124,298.89,447304.0,0.0,134,149.17,333201.33,0.0,101,1.6,18051.69,0.0
benchmarks/leon_heap-goal5.smt2.th,124,298.81,1076780.0,0.0,124,298.83,455624.0,0.0,134,231.99,506708.0,0.0,101,1.59,18243.12,0.0
benchmarks/leon_heap-goal6.smt2.th,124,298.83,1075212.0,0.0,124,298.17,459812.0,0.0,124,297.31,707112.0,0.0,101,1.59,18268.43,0.0
benchmarks/leon_heap-goal7.smt2.th,124,298.63,630048.0,0.0,124,298.05,456680.0,0.0,124,297.58,563460.0,0.0,101,1.61,18095.66,0.0
benchmarks/leon_heap-goal8.smt2.th,124,298.5,725812.0,0.0,124,298.06,458036.0,0.0,124,297.65,553572.0,0.0,101,1.63,17838.94,0.0
benchmarks/leon_heap-goal9.smt2.th,124,297.89,1070356.0,0.0,124,297.89,421256.0,0.0,124,297.94,958652.0,0.0,101,1.66,17541.41,0.0
benchmarks/sg_clam_goal-sg1.smt2.th,0,0.01,5877.46,13.0,0,0.01,5373.19,13.0,0,0.01,6261.35,13.0,0,0.78,5523.3,45.0
benchmarks/sg_clam_goal-sg10.smt2.th,0,0.72,11318.06,13.0,0,1.04,13460.46,13.0,0,0.75,15543.94,13.0,0,2.62,12587.14,45.0
benchmarks/sg_clam_goal-sg11.smt2.th,0,0.97,11496.32,13.0,0,1.22,14361.7,13.0,0,0.89,17359.41,13.0,0,3.46,12969.53,45.0
benchmarks/sg_clam_goal-sg12.smt2.th,124,12.75,262737.29,12.61,0,4.84,41216.19,13.0,0,4.62,48674.25,13.0,0,43.48,118527.5,45.0
benchmarks/sg_clam_goal-sg13.smt2.th,0,0.21,7533.69,13.0,0,0.21,6606.2,13.0,0,0.22,8942.31,13.0,101,0.19,6611.69,0.0
benchmarks/sg_clam_goal-sg14.smt2.th,124,7.08,111496.74,165.57,0,1.7,10302.23,168.16,134,3.19,54249.39,164.1,101,32.57,7293.2,0.0
benchmarks/sg_clam_goal-sg15.smt2.th,0,0.0,5658.54,13.0,0,0.0,5240.12,13.0,0,0.0,5753.29,13.0,0,0.7,5407.47,45.0
benchmarks/sg_clam_goal-sg16.smt2.th,0,0.04,6140.05,13.0,0,0.04,5476.28,13.0,0,0.01,5664.77,13.0,101,0.14,6099.18,0.0
benchmarks/sg_clam_goal-sg17.smt2.th,0,0.72,11302.94,13.0,0,1.04,13466.43,13.0,0,0.74,15530.11,13.0,0,2.64,12589.07,45.0
benchmarks/sg_clam_goal-sg18.smt2.th,0,1.23,12039.11,13.0,0,1.49,13283.27,13.0,0,1.15,16770.32,13.0,101,0.27,5997.93,0.0
benchmarks/sg_clam_goal-sg19.smt2.th,0,0.72,11299.93,13.0,0,1.05,13462.35,13.0,0,0.75,15562.84,13.0,0,2.66,12631.78,45.0
benchmarks/sg_clam_goal-sg2.smt2.th,0,1.68,47721.82,13.0,0,3.51,111696.38,13.0,0,3.12,100140.59,13.0,0,6.04,38616.81,45.0
benchmarks/sg_clam_goal-sg20.smt2.th,0,1.79,50910.53,13.0,0,3.25,103550.06,13.0,0,2.81,89644.42,13.0,101,4.77,14750.96,0.0
benchmarks/sg_clam_goal-sg21.smt2.th,124,297.64,5380776.0,0.0,124,298.35,1183328.0,0.0,124,297.88,2007236.0,0.0,101,1.04,6332.98,0.0
benchmarks/sg_clam_goal-sg22.smt2.th,0,0.62,17850.83,13.0,0,0.93,40374.54,13.0,0,1.08,36231.15,13.0,101,4.77,14772.58,0.0
benchmarks/sg_clam_goal-sg23.smt2.th,0,0.84,28655.24,13.0,0,1.65,58862.04,13.0,0,1.17,54340.78,13.0,101,0.06,6071.82,0.0
benchmarks/sg_clam_goal-sg24.smt2.th,0,0.7,9190.22,13.0,0,0.11,6265.54,13.0,0,0.27,8639.24,13.0,101,0.59,7627.14,0.0
benchmarks/sg_clam_goal-sg25.smt2.th,0,1.2,19424.76,13.0,0,0.88,34732.26,13.0,0,0.68,30043.64,13.0,101,0.63,7870.65,0.0
benchmarks/sg_clam_goal-sg26.smt2.th,0,0.27,7847.28,13.0,0,0.27,6686.93,13.0,0,0.27,9475.97,13.0,101,0.39,6997.07,0.0
benchmarks/sg_clam_goal-sg27.smt2.th,0,3.5,30885.14,13.0,0,4.02,34268.75,13.0,0,3.69,42305.8,13.0,0,10.59,28721.79,45.0
benchmarks/sg_clam_goal-sg28.smt2.th,124,298.03,1642824.0,0.0,0,187.31,784896.0,13.0,134,67.31,809000.0,0.0,101,84.82,211199.0,0.0
benchmarks/sg_clam_goal-sg29.smt2.th,0,9.37,56526.25,13.0,0,7.22,63985.65,13.0,0,7.49,70540.1,13.0,0,65.84,100736.8,45.0
benchmarks/sg_clam_goal-sg3.smt2.th,0,0.48,15717.6,13.0,0,0.74,33253.49,13.0,0,0.52,29131.81,13.0,0,4.3,27890.84,45.0
benchmarks/sg_clam_goal-sg30.smt2.th,0,0.88,13009.73,13.0,0,1.14,12420.74,13.0,0,0.92,16201.63,13.0,0,3.52,12456.61,45.0
benchmarks/sg_clam_goal-sg31.smt2.th,124,296.09,7605192.0,0.0,124,294.92,13860352.0,0.0,124,293.86,9306624.0,0.0,101,10.35,170980.4,0.0
benchmarks/sg_clam_goal-sg32.smt2.th,124,297.92,2136776.0,0.0,124,296.28,15810016.0,0.0,124,298.23,2329500.0,0.0,101,19.44,294613.75,0.0
