threshold,cloningMemory,versionedMemory,persistentMemory,coloredMemory
19.927540000000008,185,189,164,70
19.962730000000004,185,189,164,70
19.997920000000004,185,189,164,70
20.033110000000004,185,189,164,70
20.068300000000004,185,189,164,70
20.103490000000004,185,189,164,70
20.138680000000004,185,189,164,70
20.173870000000004,185,189,164,70
20.209060000000004,185,189,164,70
20.244250000000005,185,189,164,70
20.279440000000005,185,189,164,70
20.31463,185,189,164,70
20.349820000000005,185,189,164,70
20.385010000000005,185,189,164,70
20.420200000000005,185,189,164,70
20.455390000000005,185,189,164,70
20.490580000000005,185,189,164,70
20.525770000000005,185,189,164,70
20.560960000000005,185,189,164,70
20.59615,185,189,164,70
20.631340000000005,185,189,164,70
20.666530000000005,185,189,164,70
20.70172,185,189,164,70
20.736910000000005,185,189,164,70
20.772100000000005,185,189,164,70
20.807290000000005,185,189,164,70
20.842480000000005,185,189,164,70
20.877670000000002,185,189,164,70
20.912860000000006,185,189,164,70
20.948050000000006,185,189,164,70
20.983240000000002,185,189,164,70
21.018430000000006,185,189,164,70
21.053620000000006,185,189,164,70
21.088810000000002,185,189,164,70
21.124000000000006,185,189,164,70
21.159190000000002,185,189,164,70
21.194380000000006,185,189,164,70
21.229570000000006,185,189,164,70
21.264760000000003,185,189,164,70
21.299950000000006,185,189,164,70
21.335140000000006,185,189,164,70
21.370330000000003,185,189,164,70
21.405520000000006,185,189,164,70
21.440710000000003,185,189,164,70
21.475900000000003,185,189,164,70
21.511090000000006,185,189,164,70
21.546280000000003,185,189,164,70
21.581470000000003,185,189,164,70
21.616660000000007,185,189,164,70
21.651850000000003,185,189,164,70
21.687040000000007,185,189,164,70
21.722230000000003,185,189,164,70
21.757420000000003,185,189,164,70
21.792610000000007,185,189,164,70
21.827800000000003,185,189,164,70
21.862990000000003,185,189,164,70
21.898180000000007,185,189,164,70
21.933370000000004,185,189,164,70
21.968560000000004,185,189,164,70
22.003750000000004,185,189,164,70
22.038940000000004,185,189,164,70
22.074130000000007,185,189,164,70
22.109320000000004,185,189,164,70
22.144510000000004,185,189,164,70
22.179700000000008,185,189,164,70
22.214890000000004,185,189,164,70
22.250080000000004,185,189,164,70
22.285270000000004,185,189,164,70
22.320460000000004,185,189,164,70
22.355650000000004,185,189,164,70
22.390840000000004,185,189,164,70
22.426030000000004,185,189,164,70
22.461220000000008,185,189,164,70
22.496410000000004,185,189,164,70
22.531600000000005,185,189,164,70
22.566790000000005,185,189,164,70
22.601980000000005,185,189,164,70
22.637170000000005,185,189,164,70
22.672360000000005,185,189,164,70
22.707550000000005,185,189,164,70
22.742740000000005,185,189,164,70
22.777930000000005,185,189,164,70
22.813120000000005,185,189,164,70
22.848310000000005,185,189,164,70
22.883500000000005,185,189,164,70
22.918690000000005,185,189,164,70
22.953880000000005,185,189,164,70
22.989070000000005,185,189,164,70
23.024260000000005,185,189,164,70
23.059450000000005,185,189,164,70
23.094640000000005,185,189,164,70
23.129830000000002,185,189,164,70
23.165020000000005,185,189,164,70
23.200210000000006,185,189,164,70
23.235400000000002,185,189,164,70
23.270590000000006,185,189,164,70
23.305780000000006,185,189,164,70
23.340970000000006,185,189,164,70
23.376160000000006,185,189,164,70
23.411350000000002,185,189,164,70
23.446540000000006,185,189,164,70
23.481730000000006,185,189,164,70
23.516920000000002,185,189,164,70
23.552110000000006,185,189,164,70
23.587300000000006,185,189,164,70
23.622490000000003,185,189,164,70
23.657680000000006,185,189,164,70
23.692870000000003,185,189,164,70
23.728060000000006,185,189,164,70
23.763250000000006,185,189,164,70
23.798440000000003,185,189,164,70
23.833630000000007,185,189,164,70
23.868820000000007,185,189,164,70
23.904010000000003,185,189,164,70
23.939200000000007,185,189,164,70
23.974390000000003,185,189,164,70
24.009580000000003,185,189,164,70
24.044770000000007,185,189,164,70
24.079960000000003,185,189,164,70
24.115150000000007,185,189,164,70
24.150340000000007,185,189,164,70
24.185530000000004,185,189,164,70
24.220720000000007,185,189,164,70
24.255910000000004,185,189,164,70
24.291100000000004,185,189,164,70
24.326290000000007,185,189,164,70
24.361480000000004,185,189,164,70
24.396670000000004,185,189,164,70
24.431860000000007,185,189,164,70
24.467050000000004,185,189,164,70
24.502240000000004,185,189,164,70
24.537430000000004,185,189,164,70
24.572620000000004,185,189,164,70
24.607810000000008,185,189,164,70
24.643000000000004,185,189,164,70
24.678190000000004,185,189,164,70
24.713380000000008,185,189,164,70
24.748570000000004,185,189,164,70
24.783760000000004,185,189,164,70
24.818950000000005,185,189,164,70
