benchmark,cloning_code,cloning_secs,cloning_kb,cloning_branches,versioned_code,versioned_secs,versioned_kb,versioned_branches,persistent_code,persistent_secs,persistent_kb,persistent_branches,colored_code,colored_secs,colored_kb,colored_branches
benchmarks/sg_clam_goal-sg21.smt2.th,134,162.54,2983776.00,0,124,298.33,1169712.00,0,124,298.84,2025696.00,0,101,1.57,10064.00,0
benchmarks/clam_goal51.smt2.th,0,.01,9296.00,13.00,0,.01,9008.00,13.00,0,.02,9872.00,13.00,0,.97,9504.00,45.00
benchmarks/isaplanner_goal62.smt2.th,0,.04,10256.00,21.00,0,.04,9280.00,21.00,0,.06,11312.00,21.00,101,.58,9632.00,0
benchmarks/isaplanner_goal1.smt2.th,134,36.02,4090032.00,0,0,98.06,1130576.00,69.00,134,70.60,2953584.00,0,124,298.77,888832.00,0
benchmarks/clam_goal54.smt2.th,0,.06,13040.00,67.00,0,.06,9440.00,67.00,0,.06,13840.00,67.00,101,5.32,9856.00,0
benchmarks/clam_goal55.smt2.th,0,.07,12976.00,67.00,0,.06,9328.00,67.00,0,.06,14816.00,67.00,101,5.35,9920.00,0
benchmarks/clam_goal56.smt2.th,0,.05,12960.00,67.00,0,.06,9312.00,67.00,0,.07,13920.00,67.00,101,5.29,9824.00,0
benchmarks/clam_goal57.smt2.th,0,.06,13056.00,67.00,0,.06,9376.00,67.00,0,.07,14080.00,67.00,101,6.60,9936.00,0
benchmarks/clam_goal8.smt2.th,0,.06,13024.00,67.00,0,.06,9360.00,67.00,0,.07,13952.00,67.00,101,6.73,9872.00,0
benchmarks/clam_goal9.smt2.th,0,.06,13056.00,67.00,0,.05,9392.00,67.00,0,.07,13616.00,67.00,101,5.20,9872.00,0
benchmarks/isaplanner_goal11.smt2.th,0,.06,13088.00,67.00,0,.05,9360.00,67.00,0,.08,14512.00,67.00,101,6.78,9920.00,0
benchmarks/isaplanner_goal13.smt2.th,0,.05,12928.00,67.00,0,.06,9392.00,67.00,0,.06,14208.00,67.00,101,6.67,9952.00,0
benchmarks/clam_goal73.smt2.th,0,.07,9776.00,13.00,0,.06,9152.00,13.00,0,.07,10464.00,13.00,101,.10,9472.00,0
benchmarks/clam_goal67.smt2.th,0,.01,9280.00,13.00,0,.01,8784.00,13.00,0,.02,9728.00,13.00,0,.98,9424.00,45.00
benchmarks/isaplanner_goal65.smt2.th,0,.06,11344.00,29.00,0,.07,9440.00,29.00,0,.07,12208.00,25.00,101,3.30,10144.00,0
benchmarks/sg_clam_goal-sg16.smt2.th,0,.09,9808.00,13.00,0,.09,9120.00,13.00,0,.04,9536.00,13.00,101,.21,9776.00,0
benchmarks/clam_goal33.smt2.th,0,.10,10160.00,13.00,0,.10,9392.00,13.00,0,.10,10960.00,13.00,101,.12,9696.00,0
benchmarks/clam_goal84.smt2.th,0,.10,10160.00,13.00,0,.11,9440.00,13.00,0,.12,11200.00,13.00,101,.13,9856.00,0
benchmarks/isaplanner_goal10.smt2.th,0,.10,11152.00,21.00,0,.09,9472.00,21.00,0,.14,12128.00,21.00,101,8.75,10192.00,0
benchmarks/isaplanner_goal19.smt2.th,0,.11,12512.00,25.00,0,.11,10272.00,25.00,0,.15,13264.00,25.00,101,21.66,10368.00,0
benchmarks/isaplanner_goal39.smt2.th,0,.09,11120.00,25.00,0,.10,10400.00,25.00,0,.12,13456.00,25.00,101,18.87,10112.00,0
benchmarks/isaplanner_goal4.smt2.th,0,.09,11280.00,25.00,0,.10,10368.00,25.00,0,.11,13392.00,25.00,101,12.32,10000.00,0
benchmarks/isaplanner_goal5.smt2.th,0,.09,11392.00,25.00,0,.10,10368.00,25.00,0,.12,13456.00,25.00,101,19.46,10208.00,0
benchmarks/isaplanner_goal55.smt2.th,0,.10,11056.00,21.00,0,.10,9552.00,21.00,0,.14,12048.00,21.00,101,8.81,10160.00,0
benchmarks/clam_goal74.smt2.th,0,.01,9232.00,13.00,0,.02,8960.00,13.00,0,.02,9664.00,13.00,0,.96,9408.00,45.00
benchmarks/isaplanner_goal78.smt2.th,0,.09,11376.00,25.00,0,.09,10288.00,25.00,0,.13,13216.00,25.00,101,20.44,10816.00,0
benchmarks/isaplanner_goal81.smt2.th,0,.11,11168.00,21.00,0,.09,9568.00,21.00,0,.14,12144.00,21.00,101,8.71,10128.00,0
benchmarks/isaplanner_goal54.smt2.th,0,.13,11744.00,21.00,0,.13,9952.00,21.00,0,.16,12976.00,21.00,101,.69,10560.00,0
