benchmark,cloning_code,cloning_secs,cloning_gb,cloning_branches,versioned_code,versioned_secs,versioned_gb,versioned_branches,persistent_code,persistent_secs,persistent_gb,persistent_branches,colored_code,colored_secs,colored_gb,colored_branches
benchmarks/sg_clam_goal-sg34.smt2.th,0,1.02,0.0151214599609375,13.0,0,0.89,0.011444091796875,13.0,0,0.83,0.0180816650390625,13.0,101,330.0,35.2,0.0
benchmarks/sg_clam_goal-sg85.smt2.th,0,1.19,0.0142822265625,13.0,0,0.95,0.010894775390625,13.0,0,0.82,0.015228271484375,13.0,101,330.0,35.2,0.0
benchmarks/clam_goal52.smt2.th,0,0.6,0.0140838623046875,13.0,0,0.74,0.0189056396484375,13.0,0,0.51,0.0198822021484375,13.0,0,6.88,0.0544586181640625,45.0
benchmarks/clam_goal53.smt2.th,0,0.93,0.033111572265625,13.0,0,0.7,0.018951416015625,13.0,0,0.5,0.0196990966796875,13.0,0,2.41,0.0171356201171875,45.0
benchmarks/clam_goal1.smt2.th,0,0.02,0.0091552734375,13.0,0,0.02,0.00872802734375,13.0,0,0.03,0.0099029541015625,13.0,0,1.02,0.0089874267578125,45.0
benchmarks/clam_goal3.smt2.th,0,0.91,0.0338592529296875,13.0,0,1.37,0.0650634765625,13.0,0,0.99,0.06072998046875,13.0,0,2.81,0.0175018310546875,45.0
benchmarks/clam_goal65.smt2.th,0,0.55,0.013885498046875,13.0,0,1.35,0.0668792724609375,13.0,0,0.52,0.0200347900390625,13.0,0,2.47,0.01715087890625,45.0
benchmarks/sg_clam_goal-sg3.smt2.th,0,0.89,0.0323028564453125,13.0,0,1.36,0.069244384765625,13.0,0,0.56,0.0205230712890625,13.0,0,7.57,0.0574493408203125,45.0
benchmarks/clam_goal2.smt2.th,0,0.87,0.0336151123046875,13.0,0,1.36,0.068389892578125,13.0,0,0.52,0.0197601318359375,13.0,0,6.81,0.0560760498046875,45.0
benchmarks/clam_goal4.smt2.th,0,0.88,0.0325927734375,13.0,0,1.38,0.0685577392578125,13.0,0,1.02,0.060699462890625,13.0,0,2.57,0.0173187255859375,45.0
benchmarks/clam_goal20.smt2.th,0,0.61,0.0139617919921875,13.0,0,1.43,0.06805419921875,13.0,0,0.55,0.019683837890625,13.0,101,330.0,35.2,0.0
benchmarks/clam_goal25.smt2.th,0,0.93,0.032867431640625,13.0,0,0.74,0.019073486328125,13.0,0,1.02,0.06005859375,13.0,101,330.0,35.2,0.0
benchmarks/clam_goal22.smt2.th,0,0.94,0.0331268310546875,13.0,0,0.72,0.018524169921875,13.0,0,1.01,0.060638427734375,13.0,101,330.0,35.2,0.0
benchmarks/clam_goal64.smt2.th,0,0.99,0.03289794921875,13.0,0,1.33,0.066741943359375,13.0,0,1.01,0.0614776611328125,13.0,101,330.0,35.2,0.0
benchmarks/isaplanner_goal47.smt2.th,0,0.61,0.029693603515625,115.0,0,0.94,0.0421295166015625,115.0,0,0.83,0.036468505859375,115.0,101,330.0,35.2,0.0
benchmarks/isaplanner_goal16.smt2.th,0,0.03,0.0095062255859375,19.0,0,0.04,0.0089874267578125,19.0,0,0.04,0.0103912353515625,19.0,0,1.15,0.009368896484375,63.0
benchmarks/sg_clam_goal-sg25.smt2.th,0,1.99,0.0368194580078125,13.0,0,0.94,0.0198211669921875,13.0,0,1.13,0.060577392578125,13.0,101,330.0,35.2,0.0
benchmarks/clam_goal40.smt2.th,0,3.39,0.0362701416015625,27.0,0,0.97,0.0251617431640625,27.0,0,8.94,0.075286865234375,27.0,101,330.0,35.2,0.0
benchmarks/clam_goal23.smt2.th,0,1.15,0.0341949462890625,13.0,0,0.98,0.019500732421875,13.0,0,1.33,0.062530517578125,13.0,101,330.0,35.2,0.0
benchmarks/sg_clam_goal-sg22.smt2.th,0,1.28,0.0418243408203125,13.0,0,1.95,0.0785675048828125,13.0,0,2.44,0.095123291015625,13.0,101,330.0,35.2,0.0
benchmarks/clam_goal10.smt2.th,0,1.0,0.0147705078125,13.0,0,1.55,0.0193634033203125,13.0,0,1.05,0.0224151611328125,13.0,0,3.32,0.018463134765625,45.0
benchmarks/clam_goal11.smt2.th,0,1.01,0.0150604248046875,13.0,0,1.55,0.0204925537109375,13.0,0,1.03,0.0222320556640625,13.0,0,3.32,0.0184173583984375,45.0
benchmarks/clam_goal17.smt2.th,0,1.01,0.01470947265625,13.0,0,1.56,0.0198516845703125,13.0,0,0.99,0.0223541259765625,13.0,0,3.35,0.01849365234375,45.0
benchmarks/clam_goal18.smt2.th,0,0.95,0.014862060546875,13.0,0,1.48,0.0192413330078125,13.0,0,1.07,0.0223541259765625,13.0,0,3.42,0.0184326171875,45.0
benchmarks/clam_goal19.smt2.th,0,0.98,0.0147552490234375,13.0,0,1.55,0.019256591796875,13.0,0,1.06,0.0227813720703125,13.0,0,3.33,0.0185699462890625,45.0
benchmarks/clam_goal30.smt2.th,0,1.03,0.0150299072265625,13.0,0,1.52,0.0194244384765625,13.0,0,0.98,0.0219879150390625,13.0,0,3.33,0.018585205078125,45.0
